Ck,Ck_bias,adanet_fit_time,adanet_mean,adanet_std,beta,bolAugment,bolAugmentLayers,capitalLambda,dataset,lossFirst,lossFirstChange,lossLast,lossLastChange,lowerLambda,maxLayers,maxNodes,numL,numN,,,,
Ck,Ck_bias,T,actual_epochs,adanet_fit_time,adanet_mean,adanet_std,beta,bolAugment,bolAugmentLayers,capitalLambda,dataset,lossFirst,lossFirstChange,lossLast,lossLastChange,lowerLambda,maxLayers,maxNodes,numL,numN,,
1,0.1,50,50,28.36062193,0.763492063,0,0,FALSE,FALSE,1,twospirals,1.104450876,-0.004154124,0.911345751,-0.000720435,0,3,100,3,"[[26]
 [22]
 [ 2]]",,
1,0.1,50,50,25.87247968,0.722902494,0,0,FALSE,FALSE,10,twospirals,1.105127057,-0.004547921,0.982813895,-0.0007405,0,3,100,3,"[[29]
 [19]
 [ 2]]",,
1,0.1,50,28,10.5796051,0.640136054,0,0,FALSE,FALSE,100,twospirals,1.105584499,-0.004755099,1.019920437,-0.003989904,0,3,100,2,"[[17]
 [11]
 [ 0]]",,
1,0.1,50,50,1.531087637,0.72,0,0,FALSE,FALSE,1,german-ida,1.094251667,-0.111754481,0.85236432,-0.000560573,0,3,100,2,"[[46]
 [ 2]
 [ 0]]",,
1,0.1,50,50,1.360077858,0.72,0,0,FALSE,FALSE,10,german-ida,1.092081274,-0.009474112,1.004617308,-0.000979184,0,3,100,3,"[[28]
 [19]
 [ 3]]",,
1,0.1,50,50,1.390079498,0.71,0,0,FALSE,FALSE,100,german-ida,1.106369106,-0.013853333,0.999397228,-0.000972758,0,3,100,3,"[[27]
 [21]
 [ 2]]",,
Ck,Ck_bias,T,actual_epochs,adanet_fit_time,adanet_mean,adanet_std,beta,bolAugment,bolAugmentLayers,capitalLambda,dataset,lossFirst,lossFirstChange,lossLast,lossLastChange,lowerLambda,maxLayers,maxNodes,numL,numN,,
1,0.1,300,300,58.74936032,0.661451247,0,0,FALSE,FALSE,0.1,twospirals,1.119072262,-0.004082202,1.108942529,0,0,3,100,2,"[[6]
 [1]
 [0]]",,
1,0.1,300,118,157.4400051,0.782086168,0,0,FALSE,FALSE,1,twospirals,1.119605409,-0.004351765,0.865508376,-0.000495769,0,3,100,3,"[[46]
 [53]
 [19]]",,
1,0.1,300,300,705.8805914,0.784126984,0,0,FALSE,FALSE,10,twospirals,1.118425715,-0.003771375,0.968453099,0,0,3,100,3,"[[ 99]
 [100]
 [100]]",,
Ck,Ck_bias,T,actual_epochs,adanet_fit_time,adanet_mean,adanet_std,beta,bolAugment,bolAugmentLayers,capitalLambda,dataset,lossFirst,lossFirstChange,lossLast,lossLastChange,lowerLambda,maxLayers,maxNodes,numL,numN,,
1,0.1,300,43,11.6423583,0.664172336,0,0,FALSE,FALSE,0.1,twospirals,1.11467398,-0.00398532,1.105878196,0,0,3,100,2,"[[6]
 [1]
 [0]]",,
1,0.1,300,115,176.8210795,0.798185941,0,0,FALSE,FALSE,1,twospirals,1.115247519,-0.004277532,0.873651134,-0.000560431,0,3,100,3,"[[37]
 [54]
 [24]]",,
1,0.1,300,68,49.52905297,0.745578231,0,0,FALSE,FALSE,10,twospirals,1.115125847,-0.004208647,0.979837383,-0.000566219,0,3,100,3,"[[35]
 [30]
 [ 2]]",,
1,0.1,300,68,46.69863725,0.73537415,0,0,FALSE,FALSE,100,twospirals,1.115565191,-0.004411161,0.986158919,-0.000534079,0,3,100,3,"[[38]
 [26]
 [ 4]]",,
1,0.1,300,300,12.32051778,0.8,0,0,FALSE,FALSE,0.1,german-ida,1.109525076,-0.114047901,0.852246251,0,0,3,100,1,"[[100]
 [  0]
 [  0]]",,
1,0.1,300,300,23.92255378,0.72,0,0,FALSE,FALSE,1,german-ida,1.102878107,-0.11238177,0.813562673,-5.79E-06,0,3,100,3,"[[ 99]
 [100]
 [100]]",,
1,0.1,300,300,22.66435742,0.74,0,0,FALSE,FALSE,10,german-ida,1.082849403,-0.005964826,0.902521847,-4.39E-06,0,3,100,3,"[[100]
 [100]
 [100]]",,
1,0.1,300,300,20.30693841,0.78,0,0,FALSE,FALSE,100,german-ida,1.092213873,-0.010503139,0.891579394,0,0,3,100,3,"[[100]
 [100]
 [100]]",,
Ck,Ck_bias,T,actual_epochs,adanet_fit_time,adanet_mean,adanet_std,beta,bolAugment,bolAugmentLayers,capitalLambda,dataset,lossFirst,lossFirstChange,lossLast,lossLastChange,lowerLambda,maxLayers,maxNodes,numL,numN,optIsGrad,optMethod
1,0.1,300,63,14.49056363,0.661904762,0,0,FALSE,FALSE,0.1,twospirals,1.112425984,-0.004591581,1.101847425,0,0,3,100,2,"[[7]
 [1]
 [0]]",TRUE,BFGS
